date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat
2020-10-25,Los Angeles,37.0,Leona Valley,23,,-118.306794,34.62562,3.1354942159291497,1,1
2020-10-25,Santa Cruz,87.0,Boulder Creek,23,,-122.124444,37.131389,3.1354942159291497,1,1
2020-10-25,Mendocino,45.0,South Coast,23,,-123.709722,38.929444,3.1354942159291497,1,1
2020-10-23,Amador,5.0,Pioneer,23,,-120.571944,38.431944,3.1354942159291497,1,1
2020-10-25,Los Angeles,37.0,North Lancaster,24,,-118.141748,34.765963,3.1780538303479458,1,1
2020-10-25,Los Angeles,37.0,Unincorporated - Claremont,24,,-117.70912,34.15187,3.1780538303479458,1,1
2020-10-23,Marin,41.0,Point Reyes Station,24,,-122.807184,38.068504,3.1780538303479458,1,1
2020-10-23,Riverside,65.0,Idyllwild-Pine Cove,24,,-116.762466,33.743539,3.1780538303479458,1,1
2020-10-25,Contra Costa,13.0,Byron,24,,-121.638056,37.867222,3.1780538303479458,1,1
2020-10-25,Kern,29.0,93252: Maricopa,25,,-119.423844,35.050872,3.2188758248682006,1,1
